No.;Time;;Time 1;Time 2;Delay
3;0,041111;;0,041111;0,146891;0,10578
4;0,146891;;0,146891;0,329424;0,182533
5;0,329424;;0,329424;0,383288;0,053864
6;0,383288;;0,383288;10,167375;9,784087
47;10.167.375;10,167375;10,167375;10,16744;6,5E-05
48;10.167.440;10,16744;10,16744;16,525707;6,358267
58;16.525.707;16,525707;16,525707;16,593434;0,067727
59;16.593.434;16,593434;16,593434;17,476152;0,882718
61;17.476.152;17,476152;17,476152;17,476428;0,000276
62;17.476.428;17,476428;17,476428;17,476428;0
63;17.476.428;17,476428;17,476428;17,476463;3,5E-05
64;17.476.463;17,476463;17,476463;17,476685;0,000222
65;17.476.685;17,476685;17,476685;17,476706;2,1E-05
66;17.476.706;17,476706;17,476706;17,506475;0,029769
69;17.506.475;17,506475;17,506475;17,555738;0,049263
70;17.555.738;17,555738;17,555738;17,555834;9,6E-05
71;17.555.834;17,555834;17,555834;20,889561;3,333727
116;20.889.561;20,889561;20,889561;20,935908;0,046347
117;20.935.908;20,935908;20,935908;22,476142;1,540234
119;22.476.142;22,476142;22,476142;22,525974;0,049832
120;22.525.974;22,525974;22,525974;23,874492;1,348518
132;23.874.492;23,874492;23,874492;23,874744;0,000252
133;23.874.744;23,874744;23,874744;23,874774;3E-05
134;23.874.774;23,874774;23,874774;25,401425;1,526651
149;25.401.425;25,401425;25,401425;25,401537;0,000112
150;25.401.537;25,401537;25,401537;28,057561;2,656024
152;28.057.561;28,057561;28,057561;28,101345;0,043784
153;28.101.345;28,101345;28,101345;39,884689;11,783344
201;39.884.689;39,884689;39,884689;40,035175;0,150486
202;40.035.175;40,035175;40,035175;53,179522;13,144347
207;53.179.522;53,179522;53,179522;53,251662;0,07214
208;53.251.662;53,251662;53,251662;53,450243;0,198581
209;53.450.243;53,450243;53,450243;53,491079;0,040836
210;53.491.079;53,491079;53,491079;55,296328;1,805249
213;55.296.328;55,296328;55,296328;55,296422;9,4E-05
214;55.296.422;55,296422;55,296422;61,604382;6,30796
224;61.604.382;61,604382;61,604382;61,684329;0,079947
225;61.684.329;61,684329;61,684329;66,101602;4,417273
233;66.101.602;66,101602;66,101602;66,173316;0,071714
234;66.173.316;66,173316;66,173316;66,369414;0,196098
235;66.369.414;66,369414;66,369414;66,417142;0,047728
236;66.417.142;66,417142;66,417142;66,42536;0,008218
237;66.425.360;66,42536;66,42536;66,473334;0,047974
238;66.473.334;66,473334;66,473334;70,450866;3,977532
239;70.450.866;70,450866;70,450866;70,450978;0,000112
240;70.450.978;70,450978;70,450978;85,038664;14,587686
261;85.038.664;85,038664;85,038664;85,215416;0,176752
262;85.215.416;85,215416;85,215416;;
;;;;;
;;;;total delay=;
